CountryName,Year,SuicideRate,GDP_PerCapita,Continent
Iceland,2015,14,52428.59576,Europe
India,2015,16.5,1605.605431,Asia
Indonesia,2015,3.4,3331.695128,Asia
Iraq,2015,3.1,4989.803075,Asia
Ireland,2015,11.5,61995.42278,Europe
Israel,2015,5,35855.27504,Asia
Italy,2015,8,30170.5166,Europe
Jamaica,2015,2.1,4892.897447,North America
Japan,2015,19.4,34524.46986,Asia
Jordan,2015,2.9,4097.411436,Asia
Kazakhstan,2015,24.9,10510.77189,Asia
Kenya,2015,3.1,1336.883349,Africa
Kiribati,2015,14.5,1542.57525,Oceania
Kuwait,2015,2.3,29869.52939,Asia
Latvia,2015,21.6,13639.69412,Europe
Lebanon,2015,3.3,7649.832611,Asia
Lesotho,2015,21,1219.177853,Africa
Liberia,2015,6.5,710.3838577,Africa
Libya,2015,4.2,4337.919139,Africa
Lithuania,2015,34.9,14291.90642,Europe
Luxembourg,2015,14.7,100428.368,Europe
Madagascar,2015,4,402.0883118,Africa
Malawi,2015,3.6,380.5970331,Africa
Malaysia,2015,5.4,9799.367531,Asia
Maldives,2015,2.6,9033.390413,Asia
Mali,2015,4.8,751.1704966,Africa
Malta,2015,8,24046.27535,Europe
Mauritania,2015,4.3,1194.312515,Africa
Mauritius,2015,8.5,9260.447303,Africa
Mexico,2015,5.6,9605.952351,North America
Mongolia,2015,13.1,3918.579174,Asia
Montenegro,2015,10,6514.272695,Europe
Morocco,2015,2.9,2875.257985,Africa
Mozambique,2015,4.9,547.2380939,Africa
Myanmar,2015,7.6,1133.002816,Asia
Namibia,2015,9,5032.889762,Africa
Nepal,2015,9.1,792.5528906,Asia
Netherlands,2015,12.5,45175.23189,Europe
New Zealand,2015,12.1,38559.54704,Oceania
Nicaragua,2015,12.2,2049.851415,North America
Niger,2015,4.7,360.8533841,Africa
Nigeria,2015,9.6,2730.430324,Africa
Norway,2015,12.4,74521.56993,Europe
Oman,2015,4.1,16150.88726,Asia
Pakistan,2015,2.9,1356.667731,Asia
Panama,2015,3.9,13630.30797,North America
Papua New Guinea,2015,6,2679.326711,Oceania
Paraguay,2015,9.9,5406.703857,South America
Peru,2015,4.9,6227.586716,South America
Philippines,2015,3.2,2867.15199,Asia
Poland,2015,15.8,12572.32185,Europe
Portugal,2015,13.8,19252.63495,Europe
Qatar,2015,6.5,63039.01655,Asia
Romania,2015,11.6,8977.498544,Europe
Russia,2015,32.1,9313.787542,Europe
Rwanda,2015,6.8,728.0817574,Africa
Samoa,2015,4.5,4155.279353,Oceania
Sao Tome and Principe,2015,2.3,1595.861423,Africa
Saudi Arabia,2015,3.2,20627.93278,Asia
Senegal,2015,6.2,1218.764246,Africa
Serbia,2015,15,5585.117808,Europe
Seychelles,2015,9.4,14745.34146,Africa
